type	model	precision	recall	F1
Logit	Logit4	0.569892473118	0.373239436619718	0.451063829787234
Logit	Logit4	0.611111111111	0.387323943661971	0.474137931034482
Logit	Logit4	0.555555555556	0.246478873239436	0.341463414634146
Logit	Logit4	0.613636363636	0.380281690140845	0.469565217391304
Logit	Logit4	0.540983606557	0.232394366197183	0.325123152709359
Logit	Logit4	0.547368421053	0.366197183098591	0.438818565400843
Logit	Logit4	0.619047619048	0.366197183098591	0.460176991150442
Logit	Logit4	0.629629629630	0.359154929577464	0.457399103139013
Logit	Logit4	0.623529411765	0.373239436619718	0.466960352422907
Logit	Logit4	0.583333333333	0.443661971830985	0.504000000000000
Logit	Logit4	0.560000000000	0.197183098591549	0.291666666666666
Logit	Logit4	0.529411764706	0.190140845070422	0.279792746113989
Logit	Logit4	0.553191489362	0.366197183098591	0.440677966101694
Logit	Logit4	0.636363636364	0.246478873239436	0.355329949238578
Logit	Logit4	0.615384615385	0.450704225352112	0.520325203252032
Logit	Logit4	0.551020408163	0.380281690140845	0.450000000000000
Logit	Logit4	0.542553191489	0.359154929577464	0.432203389830508
Logit	Logit4	0.604395604396	0.387323943661971	0.472103004291845
Logit	Logit4	0.560439560440	0.359154929577464	0.437768240343347
Logit	Logit4	0.551020408163	0.380281690140845	0.450000000000000
Logit	Logit4	0.542168674699	0.316901408450704	0.400000000000000
Logit	Logit4	0.511627906977	0.154929577464788	0.237837837837837
Logit	Logit4	0.517241379310	0.316901408450704	0.393013100436681
Logit	Logit4	0.527027027027	0.274647887323943	0.361111111111111
Logit	Logit4	0.540000000000	0.380281690140845	0.446280991735537
Logit	Logit4	0.510869565217	0.330985915492957	0.401709401709401
Logit	Logit4	0.500000000000	0.380281690140845	0.432000000000000
Logit	Logit4	0.444444444444	0.338028169014084	0.383999999999999
Logit	Logit4	0.567010309278	0.387323943661971	0.460251046025104
Logit	Logit4	0.485714285714	0.359154929577464	0.412955465587044
Logit	Logit4	0.594594594595	0.464788732394366	0.521739130434782
Logit	Logit4	0.547368421053	0.366197183098591	0.438818565400843
Logit	Logit4	0.000000000000	0.000000000000000	0.000000000000000
Logit	Logit4	0.515463917526	0.352112676056338	0.418410041841004
Logit	Logit4	0.505494505495	0.323943661971831	0.394849785407725
Logit	Logit4	0.510204081633	0.352112676056338	0.416666666666666
Logit	Logit4	0.563106796117	0.408450704225352	0.473469387755102
Logit	Logit4	0.607142857143	0.359154929577464	0.451327433628318
Logit	Logit4	0.631578947368	0.422535211267605	0.506329113924050
Logit	Logit4	0.582089552239	0.274647887323943	0.373205741626794
Logit	Logit4	0.558441558442	0.302816901408450	0.392694063926940
Logit	Logit4	0.572815533981	0.415492957746478	0.481632653061224
Logit	Logit4	0.640776699029	0.464788732394366	0.538775510204081
Logit	Logit4	0.434782608696	0.352112676056338	0.389105058365758
Logit	Logit4	0.490000000000	0.345070422535211	0.404958677685950
Logit	Logit4	0.650602409639	0.380281690140845	0.480000000000000
Logit	Logit4	0.593023255814	0.359154929577464	0.447368421052631
Logit	Logit4	0.569892473118	0.373239436619718	0.451063829787234
Logit	Logit4	0.641975308642	0.366197183098591	0.466367713004484
Logit	Logit4	0.590476190476	0.436619718309859	0.502024291497975
Logit	Logit4	0.576923076923	0.211267605633802	0.309278350515463
Logit	Logit4	0.551020408163	0.380281690140845	0.450000000000000
Logit	Logit4	0.611650485437	0.443661971830985	0.514285714285714
Logit	Logit4	0.518867924528	0.387323943661971	0.443548387096774
Logit	Logit4	0.548076923077	0.401408450704225	0.463414634146341
Logit	Logit4	0.555555555556	0.387323943661971	0.456431535269709
Logit	Logit4	0.555555555556	0.246478873239436	0.341463414634146
Logit	Logit4	0.525000000000	0.295774647887323	0.378378378378378
Logit	Logit4	0.606741573034	0.380281690140845	0.467532467532467
Logit	Logit4	0.568627450980	0.408450704225352	0.475409836065573
Logit	Logit4	0.522388059701	0.246478873239436	0.334928229665071
Logit	Logit4	0.597938144330	0.408450704225352	0.485355648535564
Logit	Logit4	0.560000000000	0.394366197183098	0.462809917355371
Logit	Logit4	0.551401869159	0.415492957746478	0.473895582329317
Logit	Logit4	0.585106382979	0.387323943661971	0.466101694915254
